Slide #,Slide Mount Date,Subject,Slide Mount Notation,Scanned
8001,Nov-94,,,X
8002,Nov-94,,,X
8003,Nov-94,,,X
8004,Nov-94,,,X
8005,Nov-94,,,X
8006,Nov-94,,,X
8007,Nov-94,,,X
8008,Nov-94,,,X
8009,Nov-94,,,X
8010,Nov-94,,,X
8011,Nov-94,,,X
8012,Nov-94,,,X
8013,Nov-94,,,X
8014,Nov-94,,,X
8015,Nov-94,,,X
8016,Nov-94,,,X
8017,Nov-94,,,X
8018,Nov-94,,,X
8019,Nov-94,,,X
8020,Nov-94,,,X
8021,Nov-94,,,X
8022,Nov-94,,,X
8023,Nov-94,,,X
8024,Nov-94,,,X
8025,Nov-94,,,X
8026,Nov-94,,,X
8027,Nov-94,,,X
8028,Nov-94,,,X
8029,Nov-94,,,X
8030,Nov-94,,,X
8031,Nov-94,,,X
8032,Nov-94,upper pond,pond garden,X
8033,Nov-94,,,X
8034,Nov-94,upper pond,pond garden,X
8035,Nov-94,,,X
8036,Nov-94,,,X
8037,Nov-94,,,X
8038,Nov-94,,,X
8039,Nov-94,,,X
8040,Nov-94,,,X
8041,Nov-94,,tea house,X
8042,Nov-94,,,X
8043,Nov-94,,,X
8044,Nov-94,,color,X
8045,Nov-94,,,X
8046,Nov-94,,,X
8047,Nov-94,,,X
8048,Nov-94,,,X
8049,Nov-94,,,X
8050,Nov-94,,,X
8051,Nov-94,,,X
8052,Nov-94,,,X
8053,Nov-94,,,X
8054,Nov-94,,,X
8055,Nov-94,,,X
8056,Nov-94,,,X
8057,Nov-94,,,X
8058,Nov-94,,,X
8059,Nov-94,,,X
8060,Nov-94,,,X
8061,Nov-94,,,X
8062,Nov-94,,,X
8063,Nov-94,,,X
8064,Nov-94,,,X
8065,Nov-94,,,X
8066,Nov-94,,,X
8067,Nov-94,,,X
8068,Nov-94,,,X
8069,Nov-94,,,X
8070,Nov-94,,,X
8071,Nov-94,,,X
8072,Nov-94,,,X
8073,Nov-94,,,X
8074,Nov-94,,,X
8075,Nov-94,,,X
8076,Nov-94,,,X
8077,Nov-94,,,X
8078,Nov-94,,,X
8079,Nov-94,,,X
8080,Nov-94,,,X
8081,Nov-94,,,X
