Slide #,Slide Mount Date,Subject,Slide Mount Notation,Scanned
4001,Jun-82,,,X
4002,Jun-82,,,X
4003,Jun-82,,,X
4004,Jun-82,,,X
4005,Jun-82,,,X
4006,Jun-82,,,X
4007,Jun-82,,,X
4008,Jun-82,,,X
4009,Jun-82,,,X
4010,Jun-82,,,X
4011,Jun-82,,,X
4012,Jun-82,,,X
4013,Jun-82,,,X
4014,Jun-82,,,X
4015,Jun-82,,96-97,X
4016,Jun-82,,,X
4017,Jun-82,,,X
4018,Jun-82,,,X
4019,Jun-82,,,X
4020,Jun-82,,,X
4021,Jun-82,,,X
4022,Jun-82,,,X
4023,Jun-82,,,X
4024,Jun-82,,,X
4025,Jun-82,,,X
4026,Jun-82,,,X
4027,Jun-82,,,X
4028,Jun-82,,,X
4029,Jun-82,,,X
4030,Jun-82,,,X
4031,Jun-82,,,X
4032,Jun-82,,,X
4033,Jun-82,,,X
4034,Jun-82,,,X
4035,Jun-82,,,X
4036,Jul-82,,,X
4037,Jul-82,,,X
4038,Jul-82,,,X
4039,Jul-82,,,X
4040,Jul-82,,,X
4041,Jul-82,,,X
4042,Jul-82,,,X
4043,Jul-82,,,X
4044,Jul-82,,,X
4045,Jul-82,,,X
4046,Jul-82,,,X
4047,Jul-82,,,X
4048,Jul-82,,,X
4049,Jul-82,,,X
4050,Jul-82,,,X
4051,Jul-82,,,X
4052,Jul-82,,,X
4053,Jul-82,,,X
4054,Jul-82,,,X
4055,Jul-82,,,X
4056,Jul-82,,,X
4057,Jul-82,,,X
4058,Jul-82,,,X
4059,Jul-82,,,X
4060,Jul-82,,,X
4061,Jul-82,,,X
4062,Jul-82,,,X
4063,Jul-82,,,X
4064,Jul-82,,,X
4065,Jul-82,,,X
4066,Jul-82,,,X
4067,Jul-82,,,X
4068,Jul-82,,,X
4069,Jul-82,,,X
4070,Jul-82,,,X
4071,Jul-82,,,X
4072,Jul-82,,,X
4073,Jul-82,,,X
4074,Jul-82,,Quince cameo,X
4075,Jul-82,,,X
4076,Jul-82,,,X
4077,Jul-82,,Corylopsis sinensis,X
4078,Jun-82,,,X
4079,Jun-82,,,X
4080,Jun-82,,,X
4081,Jun-82,,,X
4082,Jun-82,,,X
4083,Jun-82,,,X
4084,Jun-82,,postcard,X
4085,Jun-82,,,X
4086,Jul-84,,Kalmia latifolia,X
4087,Jun-82,,,X
4088,Jun-82,,,X
4089,Jun-82,,,X
4090,Jun-82,,,X
4091,Jun-82,,,X
4092,Jun-82,,,X
4093,Jun-82,,,X
4094,Jun-82,,,X
4095,Jun-82,,,X
4096,Jun-82,,,X
4097,Jun-82,,,X
4098,Jun-82,,,X
4099,Jun-82,,,X
4100,Jun-82,,,X
4101,Jul-82,,,X
4102,Jul-82,,,X
4103,Jul-82,,,X
4104,Jul-82,,,X
4105,Jul-82,,,X
4106,Jul-82,,,X
4107,Apr-85,,Fatsia japonica    aralia,X
4108,Jul-82,,,X
4109,Jul-82,,,X
4110,Jul-82,,,X
4111,Jul-82,,,X
4112,Jul-82,,,X
4113,Jul-82,,,X
4114,Jul-82,,,X
4115,Jul-82,,,X
4116,Jul-82,,,X
4117,Jul-82,,,X
4118,Jul-82,,,X
4119,Jul-82,,,X
4120,Jul-82,,,X
4121,Jul-82,,,X
4122,Jul-82,,,X
4123,Jul-82,,,X
4124,Jul-82,,,X
4125,Jul-82,,,X
4126,Jul-82,,,X
4127,Jul-82,,,X
4128,Jul-82,,,X
4129,Jul-82,,,X
4130,Jul-82,,,X
4131,Jul-82,,,X
4132,Jul-82,,,X
4133,Jul-82,,,X
4134,Jul-82,,,X
4135,Jul-82,,,X
4136,Jul-82,,,X
4137,Jun-82,,,X
4138,Jun-82,,,X
4139,Jun-82,,,X
4140,Jun-82,,,X
4141,Jun-82,,Natural garden,X
4142,Jun-82,,,X
4143,May-82,,Children's Day 1982    Robbie keep,X
4144,May-82,,Children's Day 1982    Robbie keep,X
4145,Jun-82,,,X
4146,Jul-82,,Hino crimson    Hinodogeri ledifolia alba,X
4147,Jul-82,bonsai,,X
4148,Jul-82,bonsai,,X
4149,Jul-82,bonsai,,X
4150,Jul-82,bonsai,,X
4151,Jul-82,bonsai,,X
4152,Jul-82,bonsai,,X
4153,Jul-82,bonsai,,X
4154,Jul-82,bonsai,,X
4155,Jul-82,bonsai,,X
4156,Jul-82,bonsai,,X
4157,Jul-82,cranes,postcard,X
4158,Jul-82,,,X
4159,Jul-82,,,X
4160,Jul-82,,,X
4161,Jul-82,,,X
4162,Jul-82,,,X
4163,Jul-82,,,X
4164,Jul-82,,Rhod. Bow Bells,X
4165,Jul-82,,,X
4166,Jul-82,,Flat garden Hinodegeri and Hino crimson    4th place ARS,X
4167,Jul-82,,,X
4168,Jul-82,,,X
4169,Jul-82,,,X
4170,Jul-82,,,X
4171,Jul-82,,,X
4172,Jul-82,,,X
4173,Jul-82,,,X
4174,Jul-82,,,X
4175,Jul-82,,,X
4176,Jul-82,,,X
4177,Jul-82,,,X
4178,Jul-82,,,X
