time,cloudCover,windBearing
1483257600,0.31,64
1483264800,0.31,52
1483268400,0.31,39
1483275600,0.31,4
1483279200,0.31,339
1483282800,0.31,10
1483286400,0.31,10
1483290000,0.22,354
1483293600,0.22,7
1483297200,0.12,0
1483300800,0.46,5
1483304400,0.18,357
1483308000,0,359
1483311600,0.31,6
1483315200,0.12,353
1483318800,0.17,346
1483322400,0.54,359
1483326000,0.23,356
1483329600,0.31,353
1483333200,0.31,4
1483336800,0.07,6
1483340400,0.19,10
1483344000,0.31,353
1483347600,0.31,4
1483351200,0.07,6
1483354800,0.19,10
1483358400,0.21,6
1483362000,0.21,7
1483365600,0.26,9
1483369200,0.23,23
1483372800,0.18,25
1483376400,0.31,45
1483380000,0.4,25
1483383600,0.31,35
1483387200,0.27,32
1483390800,0.13,41
1483394400,0.24,28
1483398000,0.12,41
1483401600,0.16,49
1483405200,0.09,55
1483408800,0.04,71
1483412400,0,78
1483416000,0,85
1483419600,0,84
1483423200,0,51
1483426800,0,32
1483430400,0.02,43
1483434000,0.02,20
1483437600,0,30
1483441200,0.02,47
1483444800,0,44
1483448400,0,34
1483452000,0,22
1483455600,0,22
1483459200,0.04,17
1483462800,0.04,16
1483466400,0.12,1
1483470000,0.04,12
1483473600,0.07,357
1483477200,0.04,1
1483480800,0.04,358
1483484400,0.04,0
1483488000,0,358
1483491600,0.04,1
1483495200,0,9
1483498800,0,11
1483502400,0,22
1483506000,0,21
1483509600,0,21
1483513200,0,23
1483516800,0,19
1483520400,0,4
1483524000,0,33
1483527600,0,17
1483531200,0,8
1483534800,0,16
1483538400,0,17
1483542000,0,9
1483545600,0.04,24
1483549200,0.04,7
1483552800,0.04,13
1483556400,0.04,19
1483560000,0.04,4
1483563600,0.04,9
1483567200,0.04,16
1483570800,0.04,22
1483574400,0,23
1483578000,0,27
1483581600,0,26
1483585200,0,21
1483588800,0,17
1483592400,0,26
1483596000,0,38
1483599600,0,46
1483603200,0,50
1483606800,0,63
1483610400,0,70
1483614000,0,98
1483617600,0,36
1483621200,0,43
1483624800,0,40
1483628400,0,130
1483632000,0,127
1483635600,0.04,100
1483639200,0.04,128
1483642800,0,162
1483646400,0.04,159
1483650000,0.04,177
1483653600,0.04,157
1483657200,0.04,181
1483660800,0.04,175
1483664400,0.08,171
1483668000,0.04,179
1483671600,0.04,193
1483675200,0.04,158
1483678800,0,138
1483682400,0,126
1483686000,0.05,132
1483689600,0,134
1483693200,0,136
1483696800,0,144
1483700400,0,146
1483704000,0.11,125
1483707600,0.08,133
1483711200,0,128
1483714800,0.05,152
1483718400,0.12,136
1483722000,0.16,131
