time,cloudCover,windBearing
2021-01-01T00:00:00-0800,0.97,150
2021-01-01T02:00:00-0800,0.99,150
2021-01-01T03:00:00-0800,1,150
2021-01-01T04:00:00-0800,1,155
2021-01-01T05:00:00-0800,1,156
2021-01-01T06:00:00-0800,1,160
2021-01-01T07:00:00-0800,1,158
2021-01-01T08:00:00-0800,1,150
2021-01-01T09:00:00-0800,1,151
2021-01-01T10:00:00-0800,0.99,148
2021-01-01T11:00:00-0800,0.97,155
2021-01-01T12:00:00-0800,0.96,161
2021-01-01T13:00:00-0800,0.95,168
2021-01-01T14:00:00-0800,0.97,164
2021-01-01T15:00:00-0800,0.99,190
2021-01-01T16:00:00-0800,1,191
2021-01-01T17:00:00-0800,0.99,192
2021-01-01T18:00:00-0800,0.99,193
2021-01-01T19:00:00-0800,0.98,189
2021-01-01T20:00:00-0800,0.97,191
2021-01-01T21:00:00-0800,0.97,188
2021-01-01T22:00:00-0800,0.95,188
2021-01-01T23:00:00-0800,0.94,183
2021-01-02T00:00:00-0800,0.91,183
2021-01-02T02:00:00-0800,0.86,188
2021-01-02T03:00:00-0800,0.88,184
2021-01-02T04:00:00-0800,0.9,182
2021-01-02T05:00:00-0800,0.93,182
2021-01-02T06:00:00-0800,0.97,182
2021-01-02T07:00:00-0800,1,181
2021-01-02T08:00:00-0800,1,179
2021-01-02T09:00:00-0800,1,178
2021-01-02T10:00:00-0800,1,178
2021-01-02T11:00:00-0800,1,173
2021-01-02T12:00:00-0800,1,172
2021-01-02T13:00:00-0800,1,177
2021-01-02T14:00:00-0800,1,180
2021-01-02T15:00:00-0800,0.99,183
2021-01-02T16:00:00-0800,1,179
2021-01-02T17:00:00-0800,1,174
2021-01-02T18:00:00-0800,1,180
2021-01-02T19:00:00-0800,1,181
2021-01-02T20:00:00-0800,1,173
2021-01-02T21:00:00-0800,1,11
2021-01-02T22:00:00-0800,1,341
2021-01-02T23:00:00-0800,1,351
2021-01-03T00:00:00-0800,1,59
2021-01-03T02:00:00-0800,0.94,111
2021-01-03T03:00:00-0800,0.73,148
2021-01-03T04:00:00-0800,0.92,176
2021-01-03T05:00:00-0800,0.86,172
2021-01-03T06:00:00-0800,0.93,175
2021-01-03T07:00:00-0800,0.96,176
2021-01-03T08:00:00-0800,0.93,180
2021-01-03T09:00:00-0800,0.9,180
2021-01-03T10:00:00-0800,0.84,183
2021-01-03T11:00:00-0800,0.87,185
2021-01-03T12:00:00-0800,0.84,184
2021-01-03T13:00:00-0800,0.76,187
2021-01-03T14:00:00-0800,0.71,189
2021-01-03T15:00:00-0800,0.65,182
2021-01-03T16:00:00-0800,0.73,176
2021-01-03T17:00:00-0800,0.92,161
2021-01-03T18:00:00-0800,0.96,152
2021-01-03T19:00:00-0800,0.96,129
2021-01-03T20:00:00-0800,0.91,106
2021-01-03T21:00:00-0800,0.91,111
2021-01-03T22:00:00-0800,0.9,125
2021-01-03T23:00:00-0800,0.93,123
2021-01-04T00:00:00-0800,0.97,118
2021-01-04T02:00:00-0800,1,133
2021-01-04T03:00:00-0800,1,141
2021-01-04T04:00:00-0800,1,141
2021-01-04T05:00:00-0800,1,139
2021-01-04T06:00:00-0800,1,134
2021-01-04T07:00:00-0800,1,129
2021-01-04T08:00:00-0800,1,134
2021-01-04T09:00:00-0800,1,134
2021-01-04T10:00:00-0800,1,145
2021-01-04T11:00:00-0800,0.99,161
2021-01-04T12:00:00-0800,1,218
2021-01-04T13:00:00-0800,0.99,246
2021-01-04T14:00:00-0800,0.98,192
2021-01-04T15:00:00-0800,0.95,174
2021-01-04T16:00:00-0800,0.94,181
2021-01-04T17:00:00-0800,0.93,186
2021-01-04T18:00:00-0800,0.94,197
2021-01-04T19:00:00-0800,0.95,195
2021-01-04T20:00:00-0800,0.72,200
2021-01-04T21:00:00-0800,0.79,197
2021-01-04T22:00:00-0800,0.79,189
2021-01-04T23:00:00-0800,0.77,188
2021-01-05T00:00:00-0800,0.64,183
2021-01-05T02:00:00-0800,0.47,186
2021-01-05T03:00:00-0800,0.53,176
2021-01-05T04:00:00-0800,0.57,169
2021-01-05T05:00:00-0800,0.68,170
2021-01-05T06:00:00-0800,0.81,165
2021-01-05T07:00:00-0800,0.98,166
2021-01-05T08:00:00-0800,0.84,165
2021-01-05T09:00:00-0800,0.94,165
2021-01-05T10:00:00-0800,0.99,159
2021-01-05T11:00:00-0800,0.98,161
2021-01-05T12:00:00-0800,1,165
2021-01-05T13:00:00-0800,1,165
2021-01-05T14:00:00-0800,1,157
2021-01-05T15:00:00-0800,1,155
2021-01-05T16:00:00-0800,1,141
2021-01-05T17:00:00-0800,1,156
2021-01-05T18:00:00-0800,1,164
2021-01-05T19:00:00-0800,1,161
2021-01-05T20:00:00-0800,1,164
2021-01-05T21:00:00-0800,0.99,168
2021-01-05T22:00:00-0800,0.98,168
2021-01-05T23:00:00-0800,1,172
2021-01-06T00:00:00-0800,1,176
2021-01-06T02:00:00-0800,1,185
2021-01-06T03:00:00-0800,1,188
2021-01-06T04:00:00-0800,1,188
2021-01-06T05:00:00-0800,1,180
2021-01-06T06:00:00-0800,1,176
2021-01-06T07:00:00-0800,1,167
2021-01-06T08:00:00-0800,0.97,167
