Slide #,Mount Date,Subject,Slide Mount Notation,Scanned
1001,,Pana-Vue Slide for sale thru gift store - stream,,
1002,,Pana-Vue Slide for sale thru gift store - Moon Bridge,,
1003,,Pana-Vue Slide for sale thru gift store - Heavenly Falls,,
1004,,Pana-Vue Slide for sale thru gift store - pagoda,,
1005,,Pana-Vue Slide for sale thru gift store - cranes,,
1006,Mar-73,,,X
1007,Mar-73,,,X
1008,,,,X
1009,,,,X
1010,,,,X
1011,,,,X
1012,,,,X
1013,Mar-73,,,X
1014,Mar-73,,,X
1015,Mar-73,,,X
1016,Mar-73,,,X
1017,Mar-73,,,X
1018,Mar-73,,,X
1019,Mar-73,,,X
1020,,,,X
1021,,,,X
1022,,,,X
1023,,,,X
1024,,,,X
1025,,,,X
1026,,Planting Pinus densiflora outside entry gate,,X
1027,,Planting Pinus densiflora outside entry gate,,X
1028,,Planting Pinus densiflora outside entry gate,,X
1029,,Planting Pinus densiflora outside entry gate,,X
1030,,Planting Pinus densiflora outside entry gate,,X
1031,,Planting Pinus densiflora outside entry gate,,X
1032,,Planting Pinus densiflora outside entry gate,,X
1033,,Planting Pinus densiflora outside entry gate,,X
1034,,Planting Pinus densiflora outside entry gate,,X
1035,,Planting Pinus densiflora outside entry gate,Pinus densiflora   Japanese Red Pine,X
1036,Mar-73,,,X
1037,Mar-73,,,X
1038,Mar-73,,,X
1039,Mar-73,,,X
1040,Mar-73,,,X
1041,Mar-73,,,X
1042,Mar-73,,,X
1043,Mar-73,,,X
1044,Mar-73,,,X
1045,Mar-73,,,X
1046,Mar-73,,,X
1047,Mar-73,,,X
1048,Mar-73,,,X
1049,Mar-73,,,X
1050,Mar-73,,,X
1051,Mar-73,,,X
1052,Mar-73,,,X
1053,Mar-73,,,X
1054,Mar-73,,,X
1055,Mar-73,,,X
1056,Mar-73,,,X
1057,Apr-73,,,X
1058,Apr-73,,,X
1059,Apr-73,,,X
1060,Apr-73,,,X
1061,Apr-73,,,X
1062,Apr-73,,,X
1063,Apr-73,,,X
1064,Apr-73,,,X
1065,Apr-73,,,X
1066,Apr-73,,,X
1067,Apr-73,,,X
1068,Apr-73,,,X
1069,Apr-73,,,X
1070,Apr-73,,Magnolia stellata,X
1071,Apr-73,,,X
1072,Apr-73,,,X
1073,Apr-73,,,X
1074,Apr-73,,,X
1075,,,,X
1076,Apr-73,,,X
1077,Apr-73,,,X
1078,Apr-73,,,X
1079,Apr-73,,,X
1080,Apr-73,,,X
1081,Apr-73,,,X
1082,Apr-73,,,X
1083,Apr-73,,,X
1084,Apr-73,,,X
1085,Apr-73,,,X
1086,Apr-73,,,X
1087,Apr-73,,,X
1088,Apr-73,,,X
1089,Apr-73,,,X
1090,Apr-73,,,X
1091,Apr-73,,,X
1092,Apr-73,,,X
1093,Apr-73,,,X
1094,Apr-73,,,X
1095,Apr-73,,,X
1096,Apr-73,,,X
1097,Apr-73,,,X
1098,May-73,,,X
1099,May-73,,,X
1100,May-73,,,X
1101,May-73,,,X
1102,May-73,,,X
1103,May-73,,,X
1104,May-73,,,X
1105,May-73,,,X
1106,May-73,,,X
1107,May-73,,,X
1108,May-73,,,X
1109,May-73,,,X
1110,May-73,,Azalea Fedora,X
1111,May-73,,,X
1112,May-73,,Tea Garden,X
1113,May-73,,,X
1114,May-73,,,X
1115,May-73,,,X
1116,May-73,,,X
1117,May-73,,,X
1118,May-73,,,X
1119,May-73,,,X
1120,May-73,,,X
1121,May-73,,,X
1122,May-73,,,X
1123,May-73,,,X
1124,May-73,,,X
1125,May-73,,,X
1126,May-73,,,X
1127,May-73,,,X
1128,May-73,,,X
1129,May-73,,,X
1130,May-73,,,X
1131,May-73,,,X
1132,May-73,,,X
1133,May-73,,,X
1134,May-73,,,X
1135,Aug-74,,,X
1136,May-73,,,X
1137,May-73,,,X
1138,May-73,,,X
1139,May-73,,,X
1140,May-73,,,X
1141,May-73,,,X
1142,May-73,,,X
1143,May-73,,,X
1144,May-73,,,X
1145,May-73,,,X
1146,May-73,,,X
1147,May-73,,,X
1148,Oct-73,,,X
1149,Oct-73,,,X
1150,Oct-73,,,X
1151,Oct-73,,,X
1152,Oct-73,,,X
1153,Aug-74,,,X
1154,Aug-73,,,X
1155,Aug-73,,,X
1156,Jul-73,,,X
1157,,,,X
1158,Jul-73,,,X
1159,Aug-73,,,X
1160,Aug-73,,,X
1161,Oct-73,Moon Bridge & Lower pond,,X
1162,Oct-73,Moon Bridge & Lower pond,,X
1163,Oct-73,Stroll Garden & Teahouse,"""Robinson"" written on mount",X
1164,Oct-73,Stroll Garden & Teahouse,,X
1165,Oct-73,Stroll Garden & Teahouse,,X
1166,Oct-73,Stroll Garden & Teahouse,,X
1167,Aug-78,Sand & Stone Garden,,X
1168,Oct-73,Stroll Garden & Teahouse,,X
1169,Oct-73,Stroll Garden & Teahouse,,X
1170,Oct-73,Natural Garden,,X
1171,Oct-73,Natural Garden,,X
1172,Oct-73,Natural Garden,,X
1173,Oct-73,Natural Garden,,X
1174,Oct-73,Natural Garden,,X
1175,Oct-73,Natural Garden,,X
1176,Oct-73,Entrance gate area,,X
1177,Oct-73,Entrance gate area,,X
1178,Oct-73,Entrance gate area,,X
1179,Oct-73,Entrance gate area,,X
1180,Oct-73,Entrance gate area,,X
1181,Oct-73,Camellia tunnel above moon bridge,,X
1182,Oct-73,Camellia tunnel above moon bridge,,X
1183,Jan-74,Natural garden ?,,X
1184,Jan-74,zigzag bridge work,,X
1185,Jan-74,zigzag bridge work,,X
1186,Jan-74,zigzag bridge work,,X
1187,Jan-79,Natural Garden work,"""Jan 74"" written on mount",X
1188,Jan-79,Natural Garden work,,X
1189,Jan-79,Natural Garden work,,X
1190,Jan-79,"completed zigzag, lantern, lower pond dry",,X
1191,Jan-79,?,,X
1192,Jan-79,"completed zigzag, dry lower pond",,X
1193,Jan-79,granite steps to zigzag bridge,,X
1194,Jan-79,granite bridge across stream,,X
1195,Jan-79,granite bridge across stream,,X
1196,Jan-79,granite steps to zigzag bridge,,X
1197,Jan-79,water basin,,X
1198,Jan-79,water basin,,X
1199,Jan-79,path way east from entry gate ?,,X
1200,Jan-79,Natural Garden rough steps?,,X
1201,Jan-79,Snow ice storm photos-hockey on the pond,,X
1202,Jan-79,snow/ice scenes in garden,(very underexposed),X
1203,Jan-79,snow/ice scenes in garden,(very underexposed),X
1204,Jan-79,snow/ice scenes in garden,(very underexposed),X
1205,Jan-79,snow/ice scenes in garden,(very underexposed),X
1206,Jan-79,snow/ice scenes in garden,(very underexposed),X
1207,Jan-79,snow & ice scenes in garden,(very underexposed),X
