Slide #,Slide Mount Date,Subject,Slide Mount Notation,Scanned
5001,Jul-84,,,X
5002,Jul-84,,postcard,X
5003,Jul-84,,,X
5004,Jul-84,,,X
5005,Jul-84,,,X
5006,Jul-84,,,X
5007,Jul-84,,Flat garden,X
5008,Jul-84,,,X
5009,Jul-84,,,X
5010,Jul-84,,postcard,X
5011,Jul-84,,,X
5012,Jul-84,,,X
5013,Jul-84,,view of city.  Do not crop on right.  Postcard,X
5014,Jul-84,,,X
5015,Sep-84,,,X
5016,Sep-84,,"8""  x  2 1/4""",X
5017,Sep-84,,,X
5018,Sep-84,,,X
5019,Sep-84,,,X
5020,Sep-84,,,X
5021,Jan-85,,,X
5022,Jan-85,,,X
5023,Jan-85,,,X
5024,Jan-85,,,X
5025,Jan-85,,,X
5026,Nov-84,,,X
5027,Nov-84,,,X
5028,Nov-84,,,X
5029,Nov-84,,,X
5030,Nov-84,,,X
5031,Nov-84,,,X
5032,Nov-84,,,X
5033,Nov-84,,,X
5034,Nov-84,,,X
5035,Nov-84,,,X
5036,Nov-84,,,X
5037,Nov-84,,,X
5038,Nov-84,,,X
5039,Nov-84,,,X
5040,Nov-84,,,X
5041,Nov-84,,,X
5042,Nov-84,,,X
5043,Nov-84,,,X
5044,Jan-85,,,X
5045,Jan-85,,,X
5046,Jan-85,,,X
5047,Jan-85,,,X
5048,Jan-85,,,X
5049,Jan-85,,,X
5050,Jan-85,,,X
5051,Jan-85,,,X
5052,Jan-85,,,X
5053,Jan-85,,,X
5054,Jan-85,,,X
5055,Jan-85,,,X
5056,Jan-85,,,X
5057,Jan-85,,,X
5058,Jan-85,,,X
5059,Jan-85,,,X
5060,Jan-85,,,X
5061,Jan-85,,,X
5062,Jan-85,,,X
5063,Jan-85,,,X
5064,Jan-85,,,X
5065,Jan-85,,,X
5066,Jan-85,,,X
5067,Jan-85,,,X
5068,Jan-85,,,X
5069,Jan-85,,,X
5070,Jan-85,,,X
5071,Jan-85,,,X
5072,Jan-85,,,X
5073,Jan-85,,,X
5074,Jan-85,,,X
5075,Jan-85,,,X
5076,Jan-85,,,X
5077,Jan-85,,,X
5078,Jan-85,,,X
5079,Jan-85,,,X
5080,Jan-85,,,X
5081,Jan-85,,,X
5082,Jan-85,,,X
5083,Jan-85,,,X
5084,Jan-85,,,X
5085,Jan-85,,,X
5086,Jan-85,,,X
5087,Jan-85,,,X
5088,Jan-85,,,X
5089,Jan-85,,,X
5090,Jan-85,,,X
5091,Jan-85,,,X
5092,Jan-85,,,X
5093,Jan-85,,,X
5094,Feb-85,,,X
5095,Feb-85,,,X
5096,Feb-85,,,X
5097,Feb-85,,,X
5098,Feb-85,,,X
5099,Feb-85,Kichiro Saizo,Kiachi,X
5100,Feb-85,Kichiro Saizo,,X
5101,Feb-85,,,X
5102,Feb-85,,,X
5103,Feb-85,,,X
5104,Feb-85,,,X
5105,Feb-85,,,X
5106,Feb-85,,,X
5107,Feb-85,,,X
5108,Feb-85,,,X
5109,Feb-85,,,X
5110,Feb-85,,,X
5111,Feb-85,,,X
5112,Feb-85,,,X
5113,Feb-85,,,X
5114,Feb-85,,,X
5115,Feb-85,,,X
5116,Feb-85,,,X
5117,Feb-85,,,X
5118,Feb-85,,,X
5119,Feb-85,,,X
5120,Feb-85,,,X
5121,Feb-85,,,X
5122,Feb-85,,,X
5123,Feb-85,,,X
5124,Feb-85,,,X
5125,Feb-85,,,X
5126,Feb-85,,,X
5127,Feb-85,,,X
5128,Feb-85,,,X
5129,Feb-85,,good,X
5130,Feb-85,,,X
5131,Feb-85,,,X
5132,Feb-85,,,X
5133,Feb-85,,,X
5134,Feb-85,,,X
5135,Feb-85,,,X
5136,Feb-85,,,X
5137,Feb-85,,,X
5138,Feb-85,,,X
5139,Mar-85,,,X
5140,Mar-85,,,X
5141,Mar-85,,,X
5142,Mar-85,,,X
5143,Mar-85,,,X
5144,Mar-85,,,X
5145,Mar-85,,,X
5146,Mar-85,,,X
5147,Mar-85,,,X
5148,Mar-85,,,X
5149,Mar-85,,,X
5150,Mar-85,,,X
5151,Mar-85,,,X
5152,Mar-85,,,X
5153,Mar-85,,,X
5154,Mar-85,,,X
5155,Mar-85,,,X
5156,Mar-85,,,X
5157,Mar-85,,,X
5158,Mar-85,,,X
5159,Mar-85,,,X
5160,Mar-85,,,X
5161,Apr-85,,,X
5162,Apr-85,,,X
5163,Aug-85,,,X
5164,Aug-85,,,X
5165,Aug-85,,,X
5166,Aug-85,snow scenes in garden,,X
5167,Aug-85,snow scenes in garden,,X
5168,Aug-85,snow scenes in garden,,X
5169,Aug-85,snow scenes in garden,,X
5170,Aug-85,snow scenes in garden,,X
5171,Aug-85,snow scenes in garden,,X
5172,Aug-85,snow scenes in garden,,X
5173,Aug-85,snow scenes in garden,,X
5174,Aug-85,snow scenes in garden,,X
5175,Aug-85,snow scenes in garden,,X
5176,Aug-85,snow scenes in garden,,X
5177,Aug-85,snow scenes in garden,,X
5178,Aug-85,snow scenes in garden,,X
5179,Aug-85,snow scenes in garden,,X
5180,Aug-85,snow scenes in garden,,X
